orgao,link
ANS - Agência Nacional de Sa�...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=763
ANATEL - AgÃªncia Nacional de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=764
ANTT - AgÃªncia Nacional de Tr...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=765
ANVISA - AgÃªncia Nacional de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=766
ANP - AgÃªncia Nacional do Pet...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=767
STF - Supremo Tribunal Federal,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=981
UFF - Universidade Federal Flu...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=805
Ministério Público Federal,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=982
UFRRJ - Universidade Federal R...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=806
Senado Federal,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=983
IFPB - Instituto Federal de Ed...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=829
UNIVASF - Universidade Federal...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=985
PRF - Departamento de Polícia...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=838
UFTM - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=989
PF - Departamento de Polícia ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=839
IFSP - Instituto Federal de Ed...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=992
